Civilian_Casualties,Estimated_Dollar_Loss,Building_Status,Business_Impact,Fire_Alarm_System_Operation,Method_Of_Fire_Control,Smoke_Alarm_at_Fire_Origin,Sprinkler_System_Presence,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Under_Control_Time,Number_of_responding_apparatus,Number_of_responding_personnel
5,79200,Occupied,Severe,Not present,CO2,Absent,Absent,2021-04-08T17:06:23Z,2021-11-23T15:18:46Z,2021-09-27T16:13:35Z,9,18
9,22600,Abandoned,Moderate,Operational,CO2,Absent,Not applicable,2021-01-29T12:06:57Z,2021-03-21T11:50:28Z,2021-01-29T14:09:21Z,3,15
6,70100,Occupied,Moderate,Non-operational,Foam,Absent,NA,2021-08-04T08:23:44Z,2021-01-06T03:35:22Z,2021-01-22T00:51:09Z,3,33
3,84900,Occupied,Moderate,Operational,CO2,Unknown,Not applicable,2021-08-13T10:57:50Z,2021-09-09T02:52:58Z,2021-03-23T11:14:44Z,9,16
5,12500,Occupied,Minor,Operational,NA,Present,Not applicable,2021-12-28T11:02:15Z,2021-12-31T20:25:05Z,2021-01-14T12:34:28Z,1,25
3,49000,Occupied,Moderate,Operational,Foam,Absent,Present,2021-11-16T20:55:33Z,2021-04-02T19:59:52Z,2021-11-27T19:53:46Z,3,32
7,93200,Occupied,None,Operational,Water,NA,Absent,2021-07-25T16:26:58Z,2021-10-10T04:34:28Z,2021-12-24T12:35:54Z,8,34
8,28900,Occupied,None,NA,CO2,Present,Present,2021-06-02T20:54:15Z,2021-06-14T15:47:55Z,2021-03-27T07:07:44Z,10,21
4,58000,Occupied,Minor,Operational,CO2,Absent,Not applicable,2021-08-14T17:46:47Z,2021-06-19T01:33:59Z,2021-02-03T04:30:45Z,9,21
6,98700,Occupied,Moderate,NA,Dry chemical,Present,Absent,2021-10-28T05:47:14Z,2021-04-12T03:47:41Z,2021-09-07T06:21:44Z,7,21
2,5400,NA,None,Not present,No intervention,Present,Not applicable,2021-10-05T19:13:05Z,2021-03-02T00:03:07Z,2021-08-01T19:26:51Z,5,13
1,99300,Occupied,None,Operational,No intervention,Present,Not applicable,2021-05-17T23:33:48Z,2021-05-10T14:37:42Z,2021-03-31T21:09:58Z,9,41
4,40600,Occupied,Moderate,Operational,CO2,Absent,Present,2021-07-11T02:46:47Z,2021-07-05T12:35:46Z,2021-05-19T21:26:53Z,5,29
1,32800,NA,None,Operational,CO2,Absent,Absent,2021-03-09T04:33:44Z,2021-11-28T05:36:30Z,2021-04-19T04:49:49Z,8,26
1,21000,Occupied,None,Operational,NA,Present,Present,2021-03-28T15:35:18Z,2021-02-28T23:20:52Z,2021-03-12T05:54:57Z,8,12
8,87500,Occupied,None,NA,Foam,Present,NA,2021-03-31T02:02:08Z,2021-12-20T08:23:21Z,2021-11-16T19:34:56Z,7,38
3,74900,Occupied,None,Operational,No intervention,Absent,Present,2021-03-17T23:10:28Z,2021-04-18T22:50:00Z,2021-10-30T23:39:53Z,1,50
0,54900,NA,None,Operational,CO2,Absent,NA,2021-04-09T09:30:19Z,2021-02-14T21:55:42Z,2021-07-31T22:12:13Z,7,23
0,42400,Abandoned,None,Operational,Foam,Absent,Absent,2021-05-03T08:10:55Z,2021-05-25T06:31:14Z,2021-08-26T22:49:06Z,10,10
3,53300,NA,None,Not present,CO2,Present,NA,2021-12-31T01:22:49Z,2021-11-16T16:04:00Z,2021-09-12T12:13:57Z,10,17
5,30800,Occupied,None,Operational,Water,Present,Absent,2021-11-21T22:16:01Z,2021-01-04T23:53:39Z,2021-08-18T06:37:27Z,9,27
4,49700,Occupied,Severe,Non-operational,No intervention,Present,Not applicable,2021-02-18T06:22:32Z,2021-10-10T14:59:04Z,2021-04-12T17:27:12Z,4,9
9,82300,Abandoned,Severe,Non-operational,Foam,NA,Not applicable,2021-03-24T10:12:07Z,2021-06-20T06:03:44Z,2021-10-18T01:36:28Z,8,15
3,90400,Unoccupied,Minor,Non-operational,NA,Absent,Present,2021-12-31T13:28:45Z,2021-11-03T06:32:20Z,2021-01-08T09:11:49Z,8,10
0,5200,Occupied,None,Operational,Water,Unknown,Absent,2021-12-18T13:43:50Z,2021-03-21T00:02:10Z,2021-01-08T23:55:31Z,1,23
8,71300,Unoccupied,Moderate,Operational,NA,Absent,Present,2021-11-28T09:35:38Z,2021-10-23T14:05:49Z,2021-10-25T13:16:52Z,8,13
8,42600,Abandoned,None,Operational,Water,Absent,Not applicable,2021-01-14T03:11:33Z,2021-01-30T08:18:01Z,2021-05-19T22:35:14Z,5,34
9,49400,Occupied,None,Operational,CO2,Present,Present,2021-03-20T08:10:13Z,2021-12-21T17:46:51Z,2021-06-30T20:15:12Z,5,50
6,94600,Occupied,Minor,Non-operational,No intervention,Present,Absent,2021-09-26T18:42:24Z,2021-03-21T00:29:41Z,2021-09-03T12:07:26Z,4,14
8,25500,Occupied,None,Operational,CO2,Present,Present,2021-06-20T20:30:28Z,2021-08-28T18:39:29Z,2021-04-07T05:08:45Z,6,30
6,61300,Occupied,Moderate,Operational,No intervention,Absent,Absent,2021-02-14T14:18:19Z,2021-06-08T22:00:08Z,2021-06-04T07:25:46Z,3,2
1,70800,Unoccupied,Minor,Operational,Foam,Present,Present,2021-04-07T05:58:12Z,2021-05-29T13:54:59Z,2021-05-01T11:53:03Z,1,45
9,99600,Occupied,Minor,Operational,CO2,Present,Absent,2021-02-15T08:18:45Z,2021-06-14T17:56:56Z,2021-03-01T22:09:43Z,1,36
7,66400,Occupied,Moderate,Operational,NA,Absent,Absent,2021-11-06T15:27:35Z,2021-11-06T10:57:34Z,2021-04-04T14:08:11Z,10,5
3,6700,Occupied,Minor,Operational,NA,Unknown,Present,2021-02-07T03:10:19Z,2021-09-03T01:18:21Z,2021-10-30T23:39:27Z,1,24
10,68400,Occupied,Moderate,Operational,No intervention,Absent,Present,2021-11-04T10:37:58Z,2021-01-25T11:19:07Z,2021-01-03T20:37:11Z,3,18
0,33800,Occupied,NA,Operational,Water,Absent,Present,2021-11-28T08:43:57Z,2021-07-16T16:03:51Z,2021-04-14T01:14:17Z,7,2
3,81500,NA,Minor,Operational,Water,Unknown,Absent,2021-03-01T22:31:29Z,2021-10-06T04:17:46Z,2021-07-18T06:15:32Z,1,47
8,15200,Abandoned,Minor,NA,No intervention,Absent,Present,2021-06-30T16:49:36Z,2021-11-05T15:37:47Z,2021-08-28T08:36:50Z,6,41
3,65100,NA,Severe,Operational,CO2,Absent,Present,2021-09-16T21:23:51Z,2021-10-26T07:47:19Z,2021-11-22T01:53:49Z,3,47
1,44400,Occupied,None,Operational,Dry chemical,NA,Present,2021-04-09T12:43:12Z,2021-01-22T04:28:53Z,2021-08-11T09:59:46Z,9,28
4,6700,Unoccupied,Moderate,Operational,NA,NA,Absent,2021-08-26T12:56:41Z,2021-02-26T16:44:05Z,2021-11-19T18:52:31Z,8,28
5,19700,Occupied,Severe,NA,No intervention,Present,Absent,2021-12-24T19:58:31Z,2021-04-07T05:56:14Z,2021-12-12T02:08:06Z,10,35
8,60100,NA,Moderate,Not present,Dry chemical,Present,Absent,2021-05-09T23:30:06Z,2021-04-10T11:45:24Z,2021-12-01T22:34:41Z,3,3
9,39700,Occupied,Moderate,Operational,No intervention,Absent,Absent,2021-08-05T23:18:01Z,2021-01-03T20:05:43Z,2021-02-08T14:38:20Z,4,29
1,73900,Occupied,Minor,NA,Dry chemical,Absent,Present,2021-04-21T05:34:24Z,2021-12-31T09:36:40Z,2021-06-27T10:24:20Z,8,6
7,13300,NA,Minor,Not present,Foam,Present,NA,2021-09-10T18:37:10Z,2021-04-21T13:02:34Z,2021-09-16T06:24:01Z,2,40
2,31000,Occupied,Moderate,Operational,NA,Present,Not applicable,2021-08-26T13:05:02Z,2021-06-26T10:51:34Z,2021-02-19T00:11:37Z,5,27
1,99400,Occupied,Severe,Operational,Water,Present,Absent,2021-10-25T11:14:21Z,2021-09-04T18:39:55Z,2021-08-10T08:10:54Z,5,31
6,96800,NA,Minor,Not present,Water,Present,Present,2021-06-01T14:46:02Z,2021-08-11T13:31:46Z,2021-04-29T14:25:37Z,6,44
5,77500,Abandoned,None,Operational,Foam,Absent,Present,2021-02-12T22:40:02Z,2021-06-24T03:01:02Z,2021-05-14T01:38:58Z,10,7
6,22900,Occupied,Minor,Not present,NA,Absent,Absent,2021-02-02T18:11:50Z,2021-12-13T08:15:51Z,2021-01-18T23:52:30Z,4,20
4,49800,Occupied,Minor,Operational,Foam,Absent,Present,2021-06-04T19:55:04Z,2021-01-07T08:30:26Z,2021-02-01T02:52:45Z,2,34
8,7700,Occupied,None,Not present,Dry chemical,Present,Absent,2021-07-21T07:50:28Z,2021-12-01T22:10:08Z,2021-04-28T05:43:47Z,1,7
4,47300,Occupied,None,Operational,Dry chemical,Absent,Present,2021-05-07T19:23:10Z,2021-09-20T14:42:15Z,2021-01-31T02:13:52Z,8,43
0,22000,Occupied,Minor,Operational,NA,Present,Not applicable,2021-04-01T13:15:55Z,2021-08-25T17:47:29Z,2021-11-23T00:37:46Z,5,21
2,83500,Occupied,Moderate,Not present,NA,Present,NA,2021-12-22T03:13:56Z,2021-08-16T01:38:00Z,2021-07-25T23:46:37Z,7,33
3,97000,Occupied,None,Operational,Dry chemical,Absent,Present,2021-06-15T19:44:43Z,2021-03-11T19:20:20Z,2021-08-02T14:02:39Z,8,37
1,11600,NA,Minor,Operational,CO2,Absent,Present,2021-02-19T07:04:50Z,2021-12-11T20:43:56Z,2021-08-04T21:10:09Z,3,14
9,82700,Occupied,None,NA,Dry chemical,Present,Present,2021-06-03T13:46:14Z,2021-08-07T15:24:58Z,2021-06-25T18:35:43Z,10,12
3,49900,Unoccupied,None,NA,NA,Unknown,Not applicable,2021-03-13T18:44:45Z,2021-04-23T13:27:57Z,2021-04-07T19:33:24Z,9,50
4,50700,Abandoned,None,Operational,Dry chemical,Absent,Present,2021-07-26T11:52:31Z,2021-04-30T06:22:51Z,2021-07-27T17:30:28Z,10,30
6,37000,Abandoned,Severe,Non-operational,CO2,Present,Present,2021-08-22T22:36:36Z,2021-11-14T18:51:50Z,2021-08-27T22:07:52Z,1,15
6,2400,Unoccupied,NA,NA,CO2,Absent,NA,2021-08-19T06:12:30Z,2021-10-29T15:23:00Z,2021-08-21T10:06:21Z,4,47
3,68800,Occupied,None,Not present,Dry chemical,Absent,Absent,2021-01-03T21:36:41Z,2021-11-24T22:00:11Z,2021-03-06T10:40:04Z,10,49
7,16500,NA,None,Operational,No intervention,NA,Absent,2021-02-21T13:22:38Z,2021-06-02T05:39:18Z,2021-03-27T11:04:49Z,10,21
4,89800,Unoccupied,Minor,Operational,No intervention,Present,Present,2021-08-21T19:44:25Z,2021-07-15T04:11:39Z,2021-12-30T01:54:57Z,3,33
7,77400,Occupied,NA,Operational,NA,Absent,Absent,2021-01-22T12:10:10Z,2021-10-26T14:10:26Z,2021-03-09T00:04:11Z,4,38
6,49700,Occupied,NA,Operational,No intervention,Absent,Present,2021-07-12T16:31:52Z,2021-01-14T12:45:28Z,2021-08-18T22:32:15Z,6,9
4,59100,Abandoned,NA,Not present,Dry chemical,Unknown,Absent,2021-10-13T07:39:45Z,2021-02-01T20:37:23Z,2021-10-19T06:32:45Z,5,29
9,68100,Occupied,None,Operational,No intervention,NA,Absent,2021-01-01T02:39:25Z,2021-05-10T21:48:01Z,2021-12-28T01:06:51Z,6,40
5,16200,Occupied,None,Operational,CO2,NA,Absent,2021-11-24T06:49:14Z,2021-11-28T08:36:12Z,2021-10-16T16:54:15Z,2,48
5,38700,Unoccupied,Moderate,Operational,Foam,Absent,Present,2021-11-22T00:21:46Z,2021-08-18T08:25:21Z,2021-08-04T02:33:50Z,3,30
6,89600,Occupied,Moderate,Operational,No intervention,Present,Not applicable,2021-03-15T14:24:10Z,2021-02-09T14:30:10Z,2021-04-07T19:12:16Z,10,31
5,35200,Unoccupied,Minor,Operational,Dry chemical,Unknown,Not applicable,2021-12-23T11:38:59Z,2021-04-19T10:21:29Z,2021-04-16T01:04:42Z,4,14
10,55000,Occupied,NA,Non-operational,Water,Absent,Absent,2021-02-27T08:14:33Z,2021-03-14T00:17:51Z,2021-05-10T07:57:48Z,5,11
9,94000,Occupied,NA,Operational,Dry chemical,NA,Absent,2021-01-09T13:40:56Z,2021-02-01T03:26:59Z,2021-06-10T17:29:04Z,8,6
6,13900,Occupied,Moderate,Operational,Foam,Unknown,Absent,2021-11-25T16:57:58Z,2021-02-17T03:23:21Z,2021-08-08T09:56:42Z,3,7
4,27000,Abandoned,None,Operational,Foam,Present,Present,2021-01-11T07:10:25Z,2021-11-04T19:26:02Z,2021-04-29T12:36:06Z,7,32
3,19300,Occupied,None,Operational,Water,Absent,Present,2021-06-15T12:25:37Z,2021-07-06T20:46:48Z,2021-03-26T23:59:43Z,10,3
4,24700,Abandoned,None,Operational,NA,Present,Not applicable,2021-11-23T22:52:01Z,2021-11-30T17:58:57Z,2021-03-13T23:37:19Z,5,47
6,93800,Occupied,None,Operational,No intervention,Present,Not applicable,2021-04-20T02:00:20Z,2021-02-06T04:00:42Z,2021-11-15T05:34:07Z,2,5
4,22700,NA,Moderate,Non-operational,No intervention,Absent,Absent,2021-10-02T17:10:41Z,2021-12-26T05:41:48Z,2021-03-26T07:04:37Z,2,27
5,11100,Unoccupied,Moderate,NA,Dry chemical,Present,Absent,2021-01-08T13:28:43Z,2021-03-26T14:08:00Z,2021-11-30T10:37:02Z,2,26
5,86900,Abandoned,None,Operational,No intervention,Absent,Absent,2021-12-09T08:41:41Z,2021-12-05T22:28:35Z,2021-05-11T00:44:58Z,10,20
2,35900,Occupied,None,Operational,NA,Absent,Absent,2021-01-06T10:54:51Z,2021-08-31T23:15:07Z,2021-06-04T19:15:27Z,6,47
9,38500,Occupied,NA,Operational,Water,Present,Not applicable,2021-09-30T18:14:53Z,2021-02-28T07:54:21Z,2021-04-26T18:14:20Z,10,16
0,17600,Occupied,Minor,Not present,NA,Present,Not applicable,2021-04-28T05:27:53Z,2021-08-14T15:06:43Z,2021-02-25T12:26:27Z,10,50
9,49400,Occupied,None,Operational,Water,Present,Present,2021-12-08T18:08:31Z,2021-09-11T04:16:13Z,2021-05-15T00:32:13Z,5,40
8,68300,Occupied,None,Operational,Dry chemical,Absent,Not applicable,2021-10-09T10:13:13Z,2021-11-23T13:19:36Z,2021-09-29T22:46:02Z,4,24
2,66800,Unoccupied,Minor,Operational,CO2,Absent,Absent,2021-01-29T06:16:51Z,2021-03-19T23:47:09Z,2021-04-23T13:35:12Z,9,10
5,81100,Abandoned,None,Operational,Dry chemical,Present,Absent,2021-03-28T06:22:48Z,2021-06-22T20:06:14Z,2021-09-09T04:39:52Z,10,16
2,29900,Abandoned,Minor,Not present,Water,Absent,Not applicable,2021-03-08T03:25:07Z,2021-02-17T16:12:35Z,2021-05-26T00:23:49Z,5,17
9,45100,NA,None,Operational,NA,Absent,Absent,2021-03-08T11:28:22Z,2021-06-20T09:09:45Z,2021-01-07T01:21:21Z,9,48
1,800,Occupied,Moderate,Operational,NA,NA,Present,2021-05-15T15:52:27Z,2021-07-24T03:35:41Z,2021-04-07T20:01:14Z,10,27
7,42700,Occupied,Moderate,Operational,Dry chemical,Unknown,Present,2021-10-02T04:18:40Z,2021-11-16T12:19:12Z,2021-05-08T18:45:09Z,2,6
4,32600,Occupied,Moderate,Operational,CO2,Present,Absent,2021-07-31T00:09:22Z,2021-11-11T06:46:20Z,2021-12-06T10:12:59Z,8,3
0,81000,Occupied,None,Operational,Foam,Absent,Present,2021-12-16T12:44:37Z,2021-08-04T17:19:31Z,2021-06-05T14:14:01Z,5,28
6,69400,Occupied,Moderate,Operational,No intervention,Present,Not applicable,2021-09-04T17:14:39Z,2021-12-10T16:29:53Z,2021-12-11T20:17:48Z,5,35
8,83600,Occupied,Minor,Operational,Foam,Absent,Present,2021-01-31T10:58:32Z,2021-11-30T13:53:01Z,2021-02-28T15:53:26Z,9,15
9,79300,Occupied,NA,Operational,No intervention,Absent,Present,2021-04-01T12:23:45Z,2021-11-24T08:13:26Z,2021-01-08T14:15:33Z,5,28
7,91600,Occupied,None,Operational,Foam,Present,Absent,2021-02-02T12:09:41Z,2021-01-07T14:10:23Z,2021-09-12T23:25:40Z,5,20
1,38200,Occupied,None,Operational,CO2,Present,Present,2021-12-17T10:21:32Z,2021-06-24T07:06:16Z,2021-05-17T00:07:34Z,7,23
8,53900,NA,None,NA,Dry chemical,NA,Present,2021-06-26T02:46:32Z,2021-03-14T18:41:59Z,2021-12-25T14:59:04Z,5,1
7,82000,Occupied,Minor,Operational,Water,Present,Present,2021-06-16T05:51:34Z,2021-01-19T04:30:22Z,2021-09-21T21:33:20Z,3,49
1,26700,Occupied,None,Operational,Foam,Absent,Present,2021-08-23T06:54:56Z,2021-09-17T21:22:03Z,2021-10-12T04:37:06Z,10,47
4,47300,Occupied,Minor,Operational,No intervention,Present,Absent,2021-03-22T22:53:53Z,2021-02-25T12:57:09Z,2021-11-11T18:03:02Z,6,19
0,90600,Occupied,None,Not present,NA,Present,Present,2021-10-31T01:28:17Z,2021-10-19T22:50:38Z,2021-02-23T09:08:03Z,4,10
10,84400,Abandoned,Moderate,Operational,No intervention,NA,NA,2021-06-17T00:06:15Z,2021-01-24T09:24:55Z,2021-11-16T16:40:54Z,9,27
10,44400,Abandoned,Moderate,Operational,No intervention,Unknown,Present,2021-07-30T14:52:01Z,2021-04-24T15:02:29Z,2021-12-22T07:00:51Z,8,30
8,42800,Occupied,None,NA,Foam,Present,Absent,2021-05-13T04:12:10Z,2021-02-01T21:43:33Z,2021-06-04T22:53:09Z,7,6
6,56800,Occupied,Severe,Operational,Water,Absent,Absent,2021-08-05T11:39:15Z,2021-02-04T06:46:39Z,2021-02-11T06:44:59Z,2,19
5,70100,NA,Moderate,Operational,No intervention,Absent,Absent,2021-04-17T10:21:25Z,2021-11-29T23:46:22Z,2021-07-20T22:51:42Z,3,40
8,62500,Occupied,None,Non-operational,Foam,Present,Absent,2021-06-10T01:01:54Z,2021-03-16T03:54:27Z,2021-07-03T18:35:36Z,4,30
0,98900,Occupied,Minor,NA,CO2,Absent,Present,2021-02-11T14:43:05Z,2021-07-21T04:21:23Z,2021-04-25T04:59:38Z,1,13
5,24900,Abandoned,Moderate,Operational,NA,Absent,Not applicable,2021-07-27T20:06:00Z,2021-03-30T10:36:34Z,2021-10-04T08:09:07Z,8,4
2,7600,Occupied,None,Operational,Dry chemical,Present,Absent,2021-10-09T23:21:01Z,2021-01-08T03:22:39Z,2021-08-18T13:58:53Z,9,28
10,43700,Abandoned,NA,Non-operational,No intervention,Present,Not applicable,2021-05-19T16:48:56Z,2021-09-12T02:05:22Z,2021-04-15T06:38:49Z,4,20
1,22200,Abandoned,None,Operational,No intervention,Present,Not applicable,2021-10-11T07:45:45Z,2021-08-24T05:50:36Z,2021-01-08T04:41:23Z,5,9
3,54700,Occupied,None,Operational,NA,Absent,Present,2021-07-24T11:21:09Z,2021-12-14T12:45:40Z,2021-04-28T10:56:28Z,2,8
5,51800,Occupied,None,Operational,Foam,Absent,Absent,2021-07-04T22:10:08Z,2021-08-30T05:01:53Z,2021-06-10T23:38:33Z,2,15
9,86300,Unoccupied,Minor,Operational,Dry chemical,Present,Present,2021-12-16T01:24:29Z,2021-05-08T10:18:49Z,2021-10-06T03:55:28Z,2,38
10,16400,Abandoned,NA,Operational,Water,NA,Not applicable,2021-06-01T15:48:28Z,2021-01-25T22:32:57Z,2021-04-14T16:25:10Z,5,3
7,60900,Occupied,None,Operational,Water,Absent,Present,2021-10-18T02:16:48Z,2021-09-11T21:56:57Z,2021-05-18T14:37:48Z,3,42
4,69300,Unoccupied,Severe,Non-operational,CO2,Unknown,Not applicable,2021-07-09T18:07:57Z,2021-12-23T08:36:53Z,2021-05-04T13:01:45Z,2,8
3,23500,Occupied,Severe,Operational,Water,Absent,Absent,2021-05-07T07:11:00Z,2021-03-13T20:45:57Z,2021-06-30T03:26:59Z,4,39
0,46400,Occupied,None,Operational,No intervention,Absent,NA,2021-02-07T13:30:48Z,2021-06-24T16:05:07Z,2021-12-28T00:12:21Z,6,38
5,39900,Occupied,None,Operational,Water,Present,NA,2021-03-20T10:48:31Z,2021-08-30T20:35:10Z,2021-05-11T12:04:18Z,5,41
2,77800,NA,Minor,Operational,Foam,Present,Absent,2021-06-11T14:33:41Z,2021-05-23T12:14:05Z,2021-12-15T02:56:57Z,6,32
4,21000,Unoccupied,None,Not present,No intervention,Present,Present,2021-12-14T17:29:45Z,2021-02-26T18:24:41Z,2021-06-24T06:45:23Z,5,17
2,85600,Occupied,NA,Operational,NA,Present,Present,2021-10-31T11:36:46Z,2021-12-13T15:13:27Z,2021-08-27T12:35:30Z,10,5
6,48800,NA,Moderate,Operational,Water,Absent,Absent,2021-09-09T07:06:27Z,2021-12-09T09:54:56Z,2021-05-31T17:40:15Z,5,48
8,77800,Occupied,Minor,Operational,No intervention,Absent,Absent,2021-12-08T12:27:45Z,2021-12-21T13:33:23Z,2021-11-30T19:44:13Z,8,15
8,95400,Occupied,Moderate,Non-operational,Dry chemical,Present,Not applicable,2021-03-28T12:31:54Z,2021-07-09T10:14:48Z,2021-05-15T14:56:58Z,9,39
9,23600,Unoccupied,Moderate,Operational,CO2,Unknown,Absent,2021-02-23T17:48:11Z,2021-08-10T23:38:17Z,2021-05-14T22:05:16Z,2,15
2,54500,Occupied,None,Operational,Foam,Absent,Not applicable,2021-05-17T00:32:44Z,2021-03-23T01:53:51Z,2021-08-10T09:10:59Z,9,22
9,76300,Occupied,Moderate,Operational,Foam,Present,Present,2021-03-31T10:31:37Z,2021-02-03T19:50:51Z,2021-10-14T21:48:12Z,1,28
9,36100,Occupied,None,Operational,Foam,Absent,Present,2021-04-07T06:14:29Z,2021-03-07T06:34:30Z,2021-11-08T10:25:07Z,3,32
10,45500,Occupied,None,Operational,NA,Present,Present,2021-08-29T01:40:01Z,2021-11-11T10:04:26Z,2021-08-27T23:59:24Z,5,35
2,47900,Occupied,Minor,Operational,Dry chemical,Absent,Not applicable,2021-05-10T09:26:00Z,2021-03-03T08:42:01Z,2021-10-20T02:26:10Z,2,34
10,41400,Occupied,None,Not present,Dry chemical,Present,Present,2021-07-12T02:34:45Z,2021-01-04T09:00:40Z,2021-01-29T04:39:57Z,9,5
3,73700,Occupied,Minor,NA,NA,NA,Not applicable,2021-08-20T04:56:57Z,2021-03-03T10:22:15Z,2021-10-21T09:26:42Z,7,30
4,18700,NA,None,Operational,Dry chemical,Absent,Absent,2021-05-20T19:03:07Z,2021-12-11T04:38:23Z,2021-01-02T11:31:59Z,6,4
0,25700,Occupied,None,Not present,Foam,Unknown,Not applicable,2021-02-08T04:40:45Z,2021-07-09T03:20:50Z,2021-01-02T04:04:20Z,9,24
5,74000,Occupied,Minor,Not present,Dry chemical,Absent,Not applicable,2021-12-11T03:25:00Z,2021-07-24T09:34:37Z,2021-04-22T11:11:01Z,1,34
8,59700,Occupied,None,Operational,Dry chemical,Absent,Not applicable,2021-04-08T00:24:28Z,2021-08-07T05:40:11Z,2021-01-23T16:56:13Z,1,26
5,96600,Occupied,Minor,Operational,Dry chemical,Unknown,Absent,2021-08-27T09:45:45Z,2021-04-09T15:03:20Z,2021-03-25T07:07:44Z,3,31
3,69900,Occupied,None,Operational,No intervention,Absent,Not applicable,2021-06-16T04:08:23Z,2021-04-05T00:38:49Z,2021-11-18T15:40:42Z,9,29
2,33000,Occupied,Moderate,Operational,Water,Present,Not applicable,2021-08-18T18:02:16Z,2021-06-18T22:00:07Z,2021-05-23T15:52:59Z,8,16
0,19800,Occupied,None,NA,No intervention,Present,Not applicable,2021-03-05T12:28:32Z,2021-11-06T12:09:51Z,2021-07-07T02:39:54Z,3,28
10,79400,Occupied,None,Operational,Foam,Present,Not applicable,2021-05-01T07:58:49Z,2021-08-31T07:14:39Z,2021-09-14T23:12:24Z,7,22
5,66700,Occupied,Severe,Operational,Water,Present,Present,2021-08-13T20:14:49Z,2021-08-19T08:34:55Z,2021-08-17T22:39:15Z,10,7
5,76800,Occupied,None,Operational,No intervention,Present,Absent,2021-12-03T12:40:29Z,2021-09-14T09:52:59Z,2021-11-21T23:02:38Z,10,40
1,52800,Occupied,Moderate,Operational,Dry chemical,NA,Not applicable,2021-08-22T19:57:06Z,2021-07-25T09:26:38Z,2021-03-21T23:28:35Z,1,17
2,6200,Occupied,None,Operational,Water,NA,Absent,2021-11-30T05:55:13Z,2021-10-08T18:56:07Z,2021-07-01T06:54:27Z,2,18
9,74400,Occupied,None,NA,Dry chemical,Present,Not applicable,2021-02-03T22:32:43Z,2021-09-08T18:01:53Z,2021-03-25T19:16:19Z,4,3
0,81400,Occupied,Moderate,Operational,Foam,Present,Not applicable,2021-02-06T07:23:55Z,2021-07-19T08:14:49Z,2021-04-23T10:34:23Z,1,25
6,32800,NA,None,NA,NA,Present,Not applicable,2021-03-03T04:22:32Z,2021-03-29T15:50:37Z,2021-07-10T10:19:15Z,3,37
8,28300,Occupied,Minor,Operational,Foam,Unknown,NA,2021-06-13T17:24:55Z,2021-06-18T14:22:36Z,2021-12-06T12:48:46Z,1,14
9,69000,Abandoned,NA,Operational,No intervention,Absent,Absent,2021-08-03T23:09:25Z,2021-01-30T23:36:05Z,2021-08-11T05:43:23Z,3,38
2,5400,NA,None,Operational,CO2,Absent,Not applicable,2021-04-21T07:04:42Z,2021-02-25T20:30:15Z,2021-05-07T03:46:01Z,5,12
0,44700,Occupied,Minor,Non-operational,Water,Present,Not applicable,2021-08-28T13:00:48Z,2021-03-11T03:12:33Z,2021-10-05T05:43:13Z,2,17
7,81600,Occupied,None,Not present,Dry chemical,Present,Present,2021-08-10T05:24:27Z,2021-07-12T19:50:45Z,2021-11-05T04:37:17Z,8,21
0,68900,Occupied,Minor,NA,CO2,Present,Absent,2021-01-05T18:40:40Z,2021-09-26T02:01:23Z,2021-10-30T05:45:48Z,1,7
0,66800,NA,Minor,Not present,No intervention,Present,Present,2021-11-07T08:20:26Z,2021-10-02T08:39:52Z,2021-07-31T21:31:40Z,6,37
3,72700,Occupied,None,Operational,Foam,Present,Present,2021-12-02T18:26:00Z,2021-07-02T20:25:58Z,2021-06-03T11:49:38Z,4,50
2,36400,Abandoned,None,Not present,Dry chemical,Unknown,Absent,2021-05-03T23:21:06Z,2021-09-11T07:44:24Z,2021-07-13T05:48:10Z,1,6
10,42400,Occupied,None,Operational,Water,Present,Absent,2021-02-02T05:44:11Z,2021-08-03T23:28:23Z,2021-07-20T11:18:14Z,7,7
4,35700,Abandoned,None,NA,Water,Present,Present,2021-06-21T02:11:53Z,2021-05-16T16:45:27Z,2021-11-12T15:10:26Z,1,35
7,50600,Occupied,Severe,Operational,Dry chemical,Unknown,Present,2021-11-09T02:01:21Z,2021-03-25T16:50:50Z,2021-09-01T12:30:27Z,4,2
3,70800,Occupied,None,Not present,No intervention,Present,Absent,2021-06-25T04:02:55Z,2021-07-13T10:24:05Z,2021-12-29T14:56:23Z,3,26
7,800,Occupied,NA,Not present,No intervention,Unknown,Present,2021-12-21T16:35:08Z,2021-04-27T05:10:46Z,2021-06-26T12:07:25Z,6,31
5,48900,Occupied,Moderate,Operational,CO2,Absent,Absent,2021-01-06T23:45:28Z,2021-01-25T11:25:46Z,2021-03-10T13:15:21Z,8,5
6,64800,Abandoned,Minor,Not present,Water,Unknown,Not applicable,2021-11-14T04:43:49Z,2021-11-02T19:44:45Z,2021-08-30T09:41:26Z,2,14
2,98700,Occupied,Minor,Operational,Dry chemical,Absent,Not applicable,2021-08-18T23:09:08Z,2021-03-14T18:58:30Z,2021-07-18T16:00:45Z,1,48
5,6200,Occupied,None,NA,Foam,Present,Present,2021-01-29T00:37:51Z,2021-11-15T23:37:39Z,2021-06-29T13:07:32Z,6,12
